 1677 1191 1500  #UTIL: 465
 1677 1999  #UTIL: 157
 1677 1999 1601  #UTIL: 330
 1677 1999 1601 1500  #UTIL: 393
 1677 1999 1500  #UTIL: 220
 1677 1601  #UTIL: 183
 1677 1601 1500  #UTIL: 246
 1677 1500  #UTIL: 73
 1191  #UTIL: 392
 1191 1999  #UTIL: 539
 1191 1999 1601  #UTIL: 712
 1191 1999 1601 1500  #UTIL: 775
 1191 1999 1500  #UTIL: 602
 1191 1601  #UTIL: 565
 1191 1601 1500  #UTIL: 628
 1191 1500  #UTIL: 455
 1999  #UTIL: 245
 1999 1601  #UTIL: 320
 1999 1601 1500  #UTIL: 383
 1999 1500  #UTIL: 210
 1999 421  #UTIL: 2125
 1601  #UTIL: 346
 1601 1500  #UTIL: 236
 1601 1659  #UTIL: 1390
 1500  #UTIL: 189
 1500 1415  #UTIL: 1260
 53  #UTIL: 990
 2493  #UTIL: 49
 1803  #UTIL: 63
 410  #UTIL: 1737
 410 1509  #UTIL: 2239
 410 1509 59  #UTIL: 2392
 410 59  #UTIL: 1890
 1509  #UTIL: 502
 1509 59  #UTIL: 655
 59  #UTIL: 153
 469  #UTIL: 485
 1444  #UTIL: 373
 1444 503  #UTIL: 921
 1444 503 67  #UTIL: 946
 1444 67  #UTIL: 398
 503  #UTIL: 548
 503 67  #UTIL: 573
 67  #UTIL: 63
 67 2512  #UTIL: 125
 67 2512 1810  #UTIL: 172
 67 1810  #UTIL: 85
